Requirement_ID,Requirement_Description,Priority,Type,Affected_Roles,Source_Page,Source_Excerpt,Test_Scenario_IDs,Test_Script_Available,Coverage_Status,Notes
REQ-001,User will be able to login into the website using the email and password. Reset password option for the users to reset the password in case of forgot password. User will also be able to login into website using Facebook and Google account.,Critical,Functional,Buyer,N/A,N/A,"TS-007, TS-008, TS-009, TS-010, TS-011, TS-012, TS-013, TS-014",No,Covered,Test scenarios defined but scripts not created
REQ-002,"Buyers will be able to get registered on website with simple registration form with below details: First name, Last name, Email id, Contact number, Password, Confirm password, Accept terms and conditions. Email id verification would be mandatory to get login into website. User will receive email verification link on registered email id to verify the email. Once email id verified successfully, user will be able login into website with email and password.",Critical,Functional,Buyer,N/A,N/A,"TS-001, TS-002, TS-003, TS-004, TS-005, TS-006, TS-009, TS-012",No,Covered,Test scenarios defined but scripts not created
REQ-003,"Buyers will be able to search the products by keyword, by browsing through category/sub-category, using filters and sorting options. User would be able to search for the products without login into website.",Critical,Functional,"Buyer, Guest",N/A,N/A,"TS-017, TS-018, TS-019, TS-020, TS-021, TS-022, TS-023",No,Covered,Test scenarios defined but scripts not created
REQ-004,"Buyers will be able to view the listing of the product with following details: Product title, Thumbnail image, Price, Ratings & reviews. By clicking on product title and image, user will be able to navigate on product detail page to view more details of the product. User should be able to view the products listing and details without login.",Critical,Functional,"Buyer, Guest",N/A,N/A,"TS-024, TS-025",No,Covered,Test scenarios defined but scripts not created
REQ-005,"User would be able to view all product details on this page. Login will not be required to view the product details. User will be able to check the shipping availability by entering PIN code. User would be able to view following details about the product on product detail page: Product title, Thumbnail image, Product images, Product description, Price, Sizes/colors, Ratings & reviews. User will be able to add the product to his shopping cart. User will also be able to add the product to wishlist. User will be able to share product on social media. User will not be able to add the product to wishlist without login.",Critical,Functional,"Buyer, Guest",N/A,N/A,"TS-026, TS-027, TS-028, TS-029, TS-030, TS-031, TS-034",No,Covered,Test scenarios defined but scripts not created
REQ-006,Buyer will need to get registered and login into website to maintain his list of items in wishlist. Buyer will be able to view/add/delete products added into his wishlist. User will be able to proceed for checkout process of items available in wishlist.,High,Functional,Buyer,N/A,N/A,"TS-039, TS-040, TS-041, TS-042, TS-043, TS-044",No,Covered,Test scenarios defined but scripts not created
REQ-007,"The products can be added into shopping cart from the product detail page. User is required to get register and login to manage the items in his shopping cart. User will be able to add items/remove items/update quantity of items in shopping cart. User will be able to proceed for checkout of any items/all items available in shopping cart. User will be able to view item price, sub-total and total price of the items available in shopping cart.",Critical,Functional,Buyer,N/A,N/A,"TS-032, TS-033, TS-034, TS-035, TS-036, TS-037, TS-038, TS-043",No,Covered,Test scenarios defined but scripts not created
REQ-008,"Payment and checkout process of the items selected from the shopping cart will be considered for placing the orders. Buyer is required to login into website for checkout and payment. Buyer will required to enter billing and shipping address before checkout and payment. Buyer will be required to select payment method for order payment: Credit card/debit card, Net banking. Buyer will be able to view the order summary on this page. Order summary will show following details: Item total, Sub-total, Shipping cost, Tax, Order total. Buyers will be able to receive email notifications for the orders status update.",Critical,Functional,Buyer,N/A,N/A,"TS-044, TS-045, TS-046, TS-047, TS-048, TS-049, TS-050, TS-051, TS-052, TS-053, TS-054, TS-055, TS-056, TS-062",No,Covered,Test scenarios defined but scripts not created
REQ-009,User will be able to share product on social media. Login is not mandatory to share products on social media.,Low,Functional,"Buyer, Guest",N/A,N/A,"TS-067, TS-068",No,Covered,Test scenarios defined but scripts not created
REQ-010,"Buyers will be able to manage their following details from account section: Profile details (email, phone number), Change password, Addresses. Buyer will be able to access below sections from My account: My Orders, MY wishlist, shopping cart, Ratings and reviews, Logout.",Critical,Functional,Buyer,N/A,N/A,"TS-049, TS-066, TS-069, TS-070, TS-071, TS-072, TS-073",No,Covered,Test scenarios defined but scripts not created
REQ-011,User will be able to give ratings and review to the items which he has ordered in past/recently. User will be able post rating and review only for the products which he has ordered from the website. Login and registration will be mandatory for the user to post ratings and review.,High,Functional,Buyer,N/A,N/A,"TS-031, TS-063, TS-064, TS-065, TS-066",No,Covered,Test scenarios defined but scripts not created
REQ-012,"Buyers will be able to view the orders list i.e. orders placed by the buyer on past. User will be able to view all details about the orders with total amount paid, shipping address, items quantity, price per unit etc. User will be able to reorder the items which are shown in the order details. User will be able to track his current orders from my orders section.",Critical,Functional,Buyer,N/A,N/A,"TS-057, TS-058, TS-059, TS-060, TS-061",No,Covered,Test scenarios defined but scripts not created
REQ-013,"Buyers will be able to contact support team via email regarding any queries/complaints by simply posting name, email, contact number and message to the admin. Admin will be able to receive an email regarding complaint details posted by buyer.",High,Functional,"Buyer, Admin",N/A,N/A,"TS-074, TS-075",No,Covered,Test scenarios defined but scripts not created
REQ-014,The admin will be able to login to the admin panel. The admin will be asked to enter the user name and password in the given field. Reset password option for the admin to reset password in case of forgot password.,Critical,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-015, TS-016",No,Covered,Test scenarios defined but scripts not created
REQ-015,"Admin user will be able to view following information on dashboard: Total no. of active and inactive registered buyers, Total no. of Products uploaded on website, Total Revenue: today/this month.",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,TS-076,No,Covered,Test scenarios defined but scripts not created
REQ-016,"Admin user will be able to view/edit/active/inactive buyers account information from this section. Admin user will be able to view all detail of the buyer's account like profile details, address, orders, wishlist, items in cart.",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-077, TS-078, TS-079, TS-080",No,Covered,Test scenarios defined but scripts not created
REQ-017,"Admin user will be able to view list of all orders placed by the buyers on website with current status of each order. Admin user will be able to view/edit order details. Admin user will be able to update the status of order placed by the buyer. Status of the orders will be as below: Open, Confirmed, In process, Shipped, Delivered. Admin user will be responsible for shipment of orders placed by the buyers. Admin user will be able to maintain the below shipment details into system for each order: Shipping carrier, Tracking ID, Current status of shipment, Delivery location/address, Shipping cost.",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-059, TS-060, TS-062, TS-081, TS-082, TS-083, TS-084, TS-085, TS-086, TS-087, TS-088, TS-100",No,Covered,Test scenarios defined but scripts not created
REQ-018,Admin user will be able add/edit/active/inactive product categories and sub-categories from this section. User will be able to add products under these categories & sub-categories from the product management section.,Critical,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-089, TS-090, TS-091, TS-092",No,Covered,Test scenarios defined but scripts not created
REQ-019,"Admin user will be able to Add/Edit/Active/Inactive products in catalog from this section. Admin user will also be able to manage following information of the products: Product name, Images, Description, Keywords, Variations (color, size).",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-093, TS-094, TS-095, TS-096, TS-097",No,Covered,Test scenarios defined but scripts not created
REQ-020,Ability for the admin to view/edit payment information i.e. bank account details to receive orders payments from buyers. Admin user will be able to view payment status of each order placed by the buyers. Stripe payment gateway will be used for online payment gateway integration.,Medium,Functional,Admin,N/A,N/A,"TS-051, TS-052, TS-053, TS-054, TS-098, TS-099, TS-100",No,Covered,Test scenarios defined but scripts not created
REQ-021,Admin user will be able to approve/reject ratings and reviews posted by the buyers for products.,Medium,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-101, TS-102",No,Covered,Test scenarios defined but scripts not created
REQ-022,"User will be able to view the following reports in system: Products uploaded (Date: From-To, Month, Year), Revenue/total sale (Today, Current week, Date: From-To, Month, Year). Admin user will be able to export reports into pdf and excel format.",High,Functional,"Admin, Sub-Admin",N/A,N/A,"TS-103, TS-104, TS-105, TS-106",No,Covered,Test scenarios defined but scripts not created
REQ-023,Admin user will be able to create/edit/delete/active/inactive sub-users to operate the various sectional operations in system.,High,Functional,"Admin, Sub-Admin",N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-024,Ability to add/edit/delete/active/inactive sub-admin users with role based access.,High,Functional,"Admin, Sub-Admin",N/A,N/A,TS-016,No,Covered,Test scenarios defined but scripts not created
REQ-025,"Admin user will be able to edit the content for below CMS pages: About us, Contact us, Privacy policy, Terms and conditions.",Critical,Functional,"Admin, Sub-Admin",N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-026,"Admin user will be able to add/edit/delete content for emails to be sent to buyers regarding new product launch, offers, and promotions.",Medium,Functional,"Admin, Sub-Admin",N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-027,Admin user will be able to view queries/complaints/feedbacks received from the buyers. Admin will also receive an email regarding the feedback/complaints and queries sent by the buyers.,High,Functional,"Admin, Sub-Admin",N/A,N/A,TS-075,No,Covered,Test scenarios defined but scripts not created
REQ-028,The website repository shall accommodate up to 100 users concurrently.,High,Performance,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-029,Web pages should not take more than 30 seconds to load in good speed of internet.,High,Performance,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-030,Web pages should not get broken and display page not found error if page is not available.,High,Non-Functional,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
REQ-031,SSL security and encryption for online payments.,Critical,Security,All Users,N/A,N/A,N/A,N/A,Not Covered,No test scenarios mapped to this requirement
